geo.tle:  Active Geosynchronous [537 objects]
active.tle:  Active Satellites [3,262 objects]
amateur.tle:  Amateur Radio [79 objects]
analyst.tle:  Analyst Satellites [472 objects]
argos.tle:  ARGOS Data Collection System [8 objects]
beidou.tle:  Beidou [50 objects]
2012-044.tle:  BREEZE-M R/B Breakup [12 objects]
cubesat.tle:  Cubesats [181 objects]
dmc.tle:  Disaster Monitoring [10 objects]
resource.tle:  Earth Resources [162 objects]
education.tle:  Education [6 objects]
engineering.tle:  Engineering [29 objects]
galileo.tle:  Galileo [26 objects]
geodetic.tle:  Geodetic [8 objects]
globalstar.tle:  Globalstar [84 objects]
glo-ops.tle:  GLONASS Operational [27 objects]
goes.tle:  GOES [17 objects]
gorizont.tle:  Gorizont [33 objects]
gps-ops.tle:  GPS Operational [30 objects]
intelsat.tle:  Intelsat [69 objects]
iridium.tle:  Iridium [31 objects]
iridium-NEXT.tle:  Iridium NEXT [75 objects]
tle-new.tle:  Last 30 Days' Launches [88 objects]
military.tle:  Miscellaneous Military [5 objects]
molniya.tle:  Molniya [36 objects]
nnss.tle:  Navy Navigation Satellite System [18 objects]
noaa.tle:  NOAA [22 objects]
oneweb.tle:  OneWeb [74 objects]
orbcomm.tle:  Orbcomm [59 objects]
other.tle:  Other [3 objects]
other-comm.tle:  Other Comm [25 objects]
planet.tle:  Planet [177 objects]
radar.tle:  Radar Calibration [9 objects]
raduga.tle:  Raduga [43 objects]
musson.tle:  Russian LEO Navigation [9 objects]
sbas.tle:  Satellite-Based Augmentation System [17 objects]
satnogs.tle:  SatNOGS [275 objects]
sarsat.tle:  Search & Rescue [70 objects]
ses.tle:  SES [74 objects]
science.tle:  Space & Earth Science [64 objects]
stations.tle:  Space Stations [76 objects]
spire.tle:  Spire [104 objects]
starlink.tle:  Starlink [843 objects]
tdrss.tle:  Tracking and Data Relay Satellite System [31 objects]
weather.tle:  Weather [53 objects]
